コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
3583,2021/03,56.1,4751464000,265496000,15,40.19,0.0,4.0
3591,2021/03,66.8,152204000000,-1115000000,40,35.53,0.0,0.0
3593,2021/03,90.8,36504000000,5632000000,68,41.22,9.0,9.0
3597,2021/06,84.9,17882029000,2158629000,300,55.99,0.0,5.0
3598,2021/03,37.6,10333238000,-1293431000,-,36.88,0.0,0.0
3600,2021/03,81.3,5830296000,95669000,70,62.49,0.0,8.0
3604,2021/03,31.1,30872223000,1305971000,12,2.54,3.0,4.0
3607,2021/08,17.2,7015000000,-1732000000,-,-,0.0,0.0
3608,2021/02,62.6,134078000000,-11843000000,-,42.35,0.0,0.0
3611,2021/03,56,53928000000,4563000000,40,14.51,0.0,0.0
3612,2021/03,32,180322000000,-21637000000,-,-,2.0,6.0
3622,2021/03,64,5611322000,172450000,3.25,11.36,0.0,10.0
3623,2020/12,19.4,2887459000,228294000,8.75,39.24,0.0,6.0
3625,2021/06,66.3,6003504000,177723000,5,-,0.0,6.0
3626,2021/03,60,448383000000,45748000000,35,28.2,1.0,1.0
3627,2021/02,75.6,8499614000,239412000,2,10.9,0.0,0.0
3628,2021/06,66.8,3330035000,348752000,6,14.96,1.0,7.0
3630,2020/12,32.6,45752211000,2836841000,28,14.3,7.0,10.0
3632,2021/06,84.6,56766000000,5378000000,12.5,16.8,0.0,1.0
3633,2020/12,30.6,11014036000,927246000,81,40.83,3.0,3.0
3634,2021/03,80,994295000,-15780000,3,-,0.0,5.0
3635,2021/03,86.4,60370000000,24397000000,90,26.22,10.0,10.0
3636,2020/09,56,92020000000,6231000000,135,23.14,8.0,9.0
3639,2021/06,74.9,6902723000,159001000,8,0,0.0,2.0
3640,2021/03,34,16098419000,1154568000,38,32.59,0.0,3.0
3641,2021/03,59.2,23714000000,2227000000,10,6.55,0.0,10.0
3645,2021/05,59,2904602000,331269000,4,4.67,0.0,0.0
3646,2021/03,86.5,1947769000,188456000,14,44.32,0.0,10.0
3647,2021/08,66.5,3309000000,212000000,2,0.27,0.0,0.0
3648,2021/03,65.4,20949674000,769555000,11,39.39,0.0,8.0
3649,2020/12,80.8,4004859000,636283000,8,47.92,0.0,10.0
3652,2021/03,93.5,1009932000,-425349000,-,-,0.0,2.0
3653,2020/10,94.6,2073000000,-143535000,-,-,0.0,8.0
3655,2021/06,80.9,7101347000,851296000,-,-,0.0,4.0
3656,2020/12,70.5,33952136000,2149485000,-,-,0.0,2.0
3657,2021/01,76.9,26729396000,3217679000,13,21.42,3.0,10.0
3658,2021/03,38.7,29951000000,957000000,-,-,0.0,8.0
3659,2020/12,82.3,293024000000,111450000000,5,7.86,2.0,3.0
3661,2021/03,36.2,12325512000,1107750000,23,31.67,0.0,8.0
3662,2021/07,73,31252000000,701000000,16,35.69,0.0,1.0
3663,2020/12,71.2,6373808000,773273000,2.5,-,6.0,8.0
3665,2021/01,72.1,7077484000,3033218000,10,13.89,2.0,5.0
3666,2021/03,75.6,8197365000,924037000,12,35.79,0.0,0.0
3667,2020/12,38.1,4073001000,-596227000,-,-,0.0,0.0
3668,2020/09,88.3,45128000000,12250000000,25,27.17,1.0,2.0
3670,2021/02,62.9,4509319000,165072000,55,49.81,0.0,5.0
3671,2020/12,39.7,4023201000,445721000,12,21.36,0.0,5.0
3673,2020/12,76.2,2161858000,4135221000,13.2,46.51,6.0,8.0
3674,2020/09,60.5,7874480000,820884000,-,-,0.0,5.0
3675,2021/06,34,10758334000,1007421000,4,11.27,2.0,4.0
3676,2021/03,39.7,22669577000,1908694000,14,30.99,2.0,6.0
3677,2020/09,67.7,12771273000,1489101000,16,32.23,7.0,10.0
3678,2021/02,28,83540000000,2664000000,21,12.11,2.0,6.0
3679,2021/03,64.6,12564000000,-1062000000,3,-,2.0,7.0
3680,2020/12,48.4,4385083000,-25809000,-,-,0.0,9.0
3681,2020/12,37.8,8282569000,1046392000,4,2.12,2.0,2.0
3682,2021/03,81.3,1801766000,163399000,18,89,0.0,5.0
3683,2020/12,49.5,12777704000,924620000,10,12.83,0.0,0.0
3687,2020/09,42.1,5764630000,1184296000,6,37.08,0.0,0.0
3688,2020/12,49.5,22487000000,3463000000,48,22.68,2.0,4.0
3689,2020/09,54.4,5683451000,-232129000,-,-,0.0,2.0
3690,2020/09,46.4,2618633000,276952000,4,0,1.0,2.0
3692,2021/03,69.3,1618275000,328716000,-,-,0.0,6.0
3694,2021/03,68.2,7517790000,1808638000,-,-,0.0,5.0
3695,2020/12,66.5,3394929000,263718000,53.86,39.09,1.0,1.0
3696,2020/12,40.1,20213496000,1496809000,18,20.81,1.0,8.0
3697,2021/08,65.3,46004000000,3994000000,-,-,0.0,4.0
3708,2021/03,57.3,76403000000,3227000000,100,18.38,0.0,2.0
3710,2020/09,87.4,3474514000,198803000,6,127.53,0.0,0.0
3712,2020/09,76.6,3035506000,1116673000,80,34.66,7.0,10.0
3723,2020/09,88.8,2496586000,1349985000,12,14.09,0.0,5.0
3726,2020/09,32.7,1967541000,-397831000,-,-,0.0,10.0
3727,2020/12,68.2,3384712000,54280000,-,-,0.0,10.0
3733,2020/10,84.9,20499889000,3352187000,85,20.86,0.0,0.0
3738,2021/03,27.4,422973000000,14050000000,75,32.05,0.0,9.0
3741,2021/03,82.9,6525920000,1011169000,57,51.36,4.0,8.0
3744,2020/12,21.9,14841739000,236171000,10,13.98,2.0,5.0
3750,2021/03,22.3,1388292000,-731671000,-,-,0.0,0.0
3751,2021/03,13.7,91146000000,2318000000,300,-,0.0,2.0
3753,2021/03,25.3,3404897000,-269712000,-,-,0.0,3.0
3758,2020/12,44.2,25700000000,364000000,5,-,0.0,0.0
3760,2021/05,57.4,1704090000,-225779000,-,-,0.0,0.0
3762,2021/03,37.1,30928506000,3583517000,19,27.6,0.0,0.0
3763,2021/03,83,5351928000,1719969000,35,57.49,4.0,10.0
3765,2020/12,78.9,98844000000,30157000000,30,12.77,0.0,4.0
3766,2021/03,68.4,7967839000,212449000,13,26.4,0.0,2.0
3768,2021/03,79.6,3551134000,654867000,14,17.33,10.0,10.0
3769,2020/09,16.5,33046404000,10388667000,52,34.73,10.0,10.0
3770,2021/04,92.7,4792151000,356597000,7,0,0.0,2.0
3771,2021/03,63.7,16158130000,1567129000,60,38.37,1.0,1.0
3772,2021/03,29.5,5309731000,-690704000,20,-,0.0,9.0
3773,2021/03,91,4431512000,679732000,-,-,0.0,2.0
3774,2021/03,40.7,213001880000,14247723000,29.75,15.79,0.0,0.0
3776,2020/12,36.2,16077000000,524882000,2,34.9,0.0,2.0
3777,2020/12,13.7,354314000,-269035000,-,0,0.0,0.0
3778,2021/03,28.6,22168022000,1372469000,3,12.03,0.0,10.0
3784,2020/12,46.4,27720200000,2128153000,14,19.95,2.0,2.0
3787,2021/03,96.6,416340000,-250254000,-,-,0.0,7.0
3788,2020/12,63.2,13332684000,1357154000,50.81,45.85,5.0,5.0
3791,2021/05,47.5,9934081000,690895000,10,4.34,0.0,5.0
3793,2021/03,39.5,11840739000,2052865000,-,-,0.0,0.0
3796,2021/03,83,2214549000,69409000,5,169.74,0.0,6.0
3798,2021/03,77.2,7191339000,1416837000,32,16.49,9.0,9.0
3799,2021/03,58.7,18627767000,635274000,12,14.88,0.0,5.0
3800,2021/03,75.9,10061205000,757149000,66,59.29,2.0,3.0
3802,2021/03,90.9,1576766000,151903000,6,15.86,1.0,6.0
3803,2021/03,43.4,684954000,13854000,-,-,,
3804,2020/10,65.2,3854536000,727322000,14,12.71,5.0,10.0
3807,2020/12,46.8,1119525000,61660000,3,34.29,2.0,2.0
3810,2021/05,77,12193385000,-812090000,-,-,1.0,10.0
3814,2020/09,2,1291206000,-508257000,-,-,0.0,0.0
3815,2021/08,38.5,1929000000,47000000,-,-,,
3816,2021/07,82.5,2611000000,461000000,17,18.81,0.0,0.0
3817,2021/03,59.2,39386000000,5026000000,120,44.16,0.0,6.0
3826,2021/02,69.5,4258759000,416630000,8,48.83,0.0,0.0
3834,2021/03,85.3,11351000000,1690000000,19.5,40.66,1.0,10.0
3835,2021/03,91.8,4302952000,1211455000,5.7,31.46,1.0,1.0
3836,2021/06,63,16236129000,2796085000,11,17.91,1.0,1.0
3837,2021/03,64,13518744000,1285318000,35,34.89,10.0,10.0
3839,2021/03,70.9,5412052000,669231000,10,17.29,0.0,6.0
3841,2021/03,87.3,1815440000,134210000,20,37.85,0.0,8.0
3842,2021/03,53.4,3863565000,12771000,-,-,0.0,0.0
3843,2021/04,25,52009682000,3403332000,7,9.68,0.0,7.0
3844,2021/03,74.9,20868000000,3150663000,31,46.67,1.0,1.0
3845,2021/03,38.6,3090952000,-151982000,-,-,0.0,0.0
3847,2021/03,56.3,10588016000,721588000,125,45.1,6.0,9.0
3848,2021/03,79.4,2024422000,206946000,43,78.05,4.0,4.0
3850,2021/03,64.9,5912604000,168441000,11,112.83,5.0,5.0
3851,2021/03,69.9,5300914000,1248258000,5,2.23,0.0,10.0
3852,2020/12,56.5,13672231000,827914000,18,24.83,3.0,9.0
3853,2021/03,70.1,2688371000,819757000,4.5,8.29,0.0,1.0
3854,2021/07,54.3,13203000000,1829000000,17,30.68,1.0,1.0
3856,2021/06,10.2,26901000000,1361000000,17,16.39,0.0,6.0
3857,2021/03,47.3,43693000000,2117294000,24,205.55,1.0,1.0
3858,2021/03,86.5,1905093000,-206408000,-,-,0.0,1.0
3861,2021/03,37.9,1358985000000,84793000000,14,27.98,2.0,10.0
3863,2021/03,26.7,1007339000000,19233000000,40,144.87,1.0,1.0
3864,2021/03,30,162325000000,-1770000000,-,-,0.0,10.0
3865,2021/03,53.6,222454000000,1701000000,14,15.4,0.0,10.0
3877,2021/03,38.4,81938000000,-347000000,-,-,0.0,7.0
3878,2021/03,28.3,30768000000,-15000000,-,50,0.0,0.0
3880,2021/03,28.2,562928000000,36873000000,17,11.06,1.0,10.0
3891,2021/03,66.3,15918459000,2761584000,22,10.72,0.0,10.0
3892,2021/05,72.1,9401584000,824600000,16,12.9,2.0,10.0
3895,2021/03,61.1,10647197000,768101000,16,25.11,2.0,2.0
3896,2021/03,26.9,12551062000,-153832000,-,-,0.0,0.0
3900,2020/09,61.2,8728350000,-298359000,-,-,0.0,1.0
3901,2020/12,72.6,2663226000,960924000,21,37.61,5.0,5.0
3902,2020/12,77,4579731000,1146395000,3.6,20.3,1.0,5.0
3903,2021/04,64.7,18628710000,1514299000,5,8.22,1.0,7.0
3904,2020/12,34.6,8749191000,744582000,3.9,0.01,1.0,1.0
3905,2021/03,66.2,1389465000,18049000,-,-,0.0,0.0
3906,2020/12,89.6,2703698000,250425000,-,-,0.0,0.0
3907,2020/11,54.6,4134000000,73000000,-,-,0.0,1.0
3908,2021/03,79,2102253000,100404000,-,-,0.0,1.0
3909,2020/12,73.6,1530069000,45542000,6,143.82,2.0,2.0
3910,2021/03,60.9,2439074000,219543000,8,31.45,0.0,1.0
3911,2020/12,74.3,11903826000,1673972000,-,-,0.0,0.0
3912,2020/12,87.3,2855993000,863271000,-,0.01,0.0,2.0
3913,2020/12,88.1,913934000,32240000,-,-,0.0,4.0
3914,2020/12,72.8,2192768000,313764000,-,-,0.0,4.0
3915,2021/02,62.1,11144704000,779670000,-,-,0.0,2.0
3916,2021/06,70.9,14444325000,1722241000,24,26.96,8.0,8.0
3917,2021/03,64.8,4363138000,113054000,-,-,0.0,3.0
3918,2020/09,40.4,16758152000,750207000,31,86.07,1.0,1.0
3919,2021/02,55.6,6524156000,1427060000,23,13.74,2.0,2.0
3920,2020/09,50.5,1946940000,198665000,-,-,0.0,2.0
3921,2021/01,65.6,5325021000,920649000,11,16.45,4.0,4.0
3922,2021/02,71.8,3765954000,1301329000,-,-,0.0,3.0
3923,2021/03,68.4,15387000000,3898730000,1.75,9.88,0.0,0.0
3924,2021/03,68.7,8877449000,620091000,25,37.53,2.0,7.0
3925,2021/03,80.2,4411540000,1108849000,55,36.35,4.0,4.0
3926,2021/03,92.7,1122453000,-772113000,-,-,0.0,3.0
3927,2021/03,60.2,1083319000,-101433000,-,-,,
3928,2020/12,49.6,11533596000,1135234000,-,-,0.0,0.0
3929,2021/03,20.6,4566083000,125313000,9,-,4.0,4.0
3930,2021/07,87.8,2621000000,248000000,-,-,0.0,2.0
3931,2021/01,48.1,4470118000,91601000,10,-,0.0,4.0
3932,2021/03,77.6,31096000000,11294000000,70,13.24,0.0,0.0
3933,2021/03,35.5,4082713000,513193000,2.5,4.29,1.0,2.0
3934,2021/03,58.7,9945117000,1280797000,8,5.17,0.0,6.0
3935,2021/02,44.9,2470556000,-23535000,-,-,0.0,0.0
3936,2021/03,31,1219648000,-362649000,-,-,0.0,0.0
3937,2021/03,66.3,4198116000,919524000,7,9.34,0.0,1.0
3939,2020/09,82.8,1881444000,654473000,2,10.18,1.0,1.0
3940,2020/12,89.3,2539510000,373223000,5.5,46.76,0.0,0.0
3941,2021/03,36,680714000000,39938000000,24,20.82,2.0,10.0
3944,2020/12,47,16800000000,566362000,50,457.48,0.0,10.0
3945,2021/03,20,26253000000,-137000000,-,-,0.0,10.0
3946,2021/03,39.3,175647000000,7230000000,45,15.04,0.0,0.0
3947,2020/12,58.6,52277769000,725340000,50,52.93,0.0,10.0
3948,2020/12,75.7,7256557000,445508000,23,37.51,0.0,2.0
3950,2020/12,71.4,78445000000,3275000000,60,47.58,2.0,10.0
3951,2021/03,48.8,40143337000,2004675000,30,28.46,0.0,0.0
3953,2021/03,72.9,4801787000,270079000,10,29.37,0.0,3.0
3954,2021/03,66.2,19938449000,1170209000,38,18.73,0.0,10.0
3955,2021/01,75.1,21237000000,873000000,20,22.88,4.0,8.0
3956,2021/03,51.8,3786566000,147008000,4,24.18,1.0,8.0
3960,2021/06,66.7,2223095000,31445000,-,-,0.0,3.0
3961,2020/12,81.1,1232530000,219404000,-,-,0.0,0.0
3962,2020/09,46.6,10542000000,4203095000,-,-,0.0,1.0
3963,2021/03,91.7,1188620000,-169114000,-,-,0.0,3.0
3964,2020/12,58.1,24078099000,3705549000,21,33.7,0.0,0.0
3965,2020/09,55.1,6880005000,169218000,20,134.23,0.0,6.0
3967,2021/02,50.4,1989725000,-333625000,-,-,0.0,2.0
3968,2020/12,43.7,10992813000,843618000,16,18.11,1.0,2.0
3969,2021/03,76.2,1924441000,783041000,20,25.11,3.0,3.0
3970,2021/03,80.1,3083540000,517679000,-,-,0.0,0.0
3974,2020/10,60,2462247000,129382000,6.67,52.41,0.0,0.0
3975,2020/12,40.9,51087544000,-727206000,12,-,0.0,0.0
3976,2020/10,40.2,1786111000,40084000,-,-,0.0,1.0
3978,2021/06,34.8,43175000000,5362000000,13,15.66,4.0,4.0
3979,2021/03,52.6,3219978000,135327000,-,-,,
3981,2020/12,26.5,12378124000,1136084000,-,-,0.0,3.0
3983,2020/12,83.8,5240816000,1707490000,10,12.64,2.0,3.0
3984,2021/06,89.2,2088190000,854751000,2.5,6.4,0.0,1.0
3985,2020/09,51.9,2301573000,178081000,-,-,0.0,2.0
3986,2021/06,77.6,1166442000,120476000,12,20.15,0.0,5.0
3987,2021/08,54.8,2162000000,61000000,-,-,0.0,1.0
3988,2021/07,58.2,6296000000,381000000,14,12.11,1.0,1.0
3991,2021/08,55.9,3574659000,414000000,-,-,0.0,4.0
3992,2020/09,74.5,5364010000,492927000,16,32.91,2.0,5.0
3993,2020/09,86,7393669000,634709000,-,-,0.0,0.0
3995,2021/01,24.5,4922753000,129458000,-,-,0.0,0.0
3996,2021/02,60.8,2037394000,-596894000,-,-,0.0,0.0
3997,2020/12,84.6,2110619000,107256000,5,22.54,0.0,2.0
3998,2020/12,72.1,1649465000,540482000,-,-,0.0,2.0
4004,2020/12,18.4,973700000000,-19449000000,65,-,0.0,0.0
4005,2021/03,25.5,2286978000000,137115000000,15,42.61,0.0,0.0
4008,2021/03,67.5,103254000000,10101000000,100,19.37,0.0,10.0
4013,2020/12,90.1,3432574000,562287000,20,6.51,0.0,0.0
4014,2021/07,85.1,1002000000,223000000,-,-,0.0,0.0
4016,2020/11,36.9,3851067000,135948000,7,10.9,0.0,0.0
4017,2021/02,29.3,2062479000,226094000,-,-,0.0,0.0
4021,2021/03,74.9,209121000000,42530000000,104,40.72,8.0,10.0
4022,2021/03,47.8,28978000000,2659000000,45,15.82,0.0,10.0
4023,2021/03,71.6,144575000000,17263000000,170,24.59,3.0,4.0
4025,2020/12,62.7,30175000000,1759000000,45,22.19,1.0,5.0
4026,2021/04,45.6,19784000000,1507000000,30,16.82,0.0,1.0
4027,2021/03,72.1,38402000000,2927000000,36,48.11,6.0,10.0
4028,2021/03,44.2,101774000000,5173000000,18,23.69,2.0,10.0
4031,2021/03,54.9,35444000000,1242000000,50,57.78,0.0,5.0
4041,2021/03,63.9,139363000000,9980000000,110,35.94,1.0,9.0
4042,2021/03,62.6,732850000000,87819000000,60,28.45,0.0,10.0
4043,2021/03,51.3,302407000000,30921000000,70,19.84,2.0,2.0
4044,2021/03,58.1,190673000000,4064000000,75,246.75,0.0,2.0
4045,2020/12,79.8,133392000000,12336000000,30,48.32,0.0,10.0
4046,2021/03,64.7,97266000000,8341000000,65,25.34,0.0,10.0
4047,2021/03,55.2,51927000000,5668000000,14,22.33,6.0,7.0
4051,2020/09,62.4,3691567000,452875000,40,50.1,0.0,0.0
4055,2020/11,80.7,2266994000,304618000,6.75,9.4,0.0,0.0
4056,2020/12,62.8,762789000,170818000,-,-,0.0,0.0
4061,2021/03,50.8,354391000000,34729000000,125,47.33,6.0,10.0
4062,2021/03,54.6,323461000000,38634000000,35,19.05,0.0,8.0
4063,2021/03,83.2,1496906000000,392213000000,250,31.12,5.0,10.0
4064,2021/03,42.2,42231000000,2388000000,40,13.63,0.0,10.0
4078,2021/03,61.6,84918000000,4304000000,15,-,0.0,0.0
4080,2021/03,37.2,22754316000,-20687000,-,-,,
4082,2021/03,53.7,23465922000,2015782000,18,35.35,7.0,7.0
4088,2021/03,38.6,806630000000,51231000000,44,38.23,4.0,10.0
4091,2021/03,27.9,818238000000,88846000000,30,21.95,6.0,10.0
4092,2021/03,55.7,34642000000,2783000000,70,28.19,0.0,7.0
4093,2021/03,51.6,29826010000,1189444000,45,42.67,0.0,10.0
4094,2021/03,85.3,19642000000,2388292000,28,31.6,7.0,10.0
4095,2021/03,68.8,99918000000,10681000000,26,29.59,1.0,1.0
4097,2021/03,67.9,76553967000,4189830000,16,25.1,0.0,6.0
4098,2021/03,38.6,6284000000,-64000000,10,-,0.0,6.0
4099,2021/03,70.5,49590000000,7401000000,24,23.51,1.0,10.0
4100,2021/03,19.5,29024000000,11000000,-,-,0.0,0.0
4102,2021/03,56.5,10844000000,151834000,30,37.79,0.0,2.0
4107,2020/12,82.7,16859000000,2185000000,90,30.31,2.0,3.0
4109,2021/03,68.4,32893000000,4081000000,47,19.74,0.0,10.0
4112,2021/03,61.8,41199000000,5444000000,50,12.66,0.0,2.0
4113,2021/03,54.5,32057443000,4015522000,160,14.25,3.0,10.0
4114,2021/03,67.3,273163000000,-15921000000,90,-,3.0,7.0
4115,2021/03,68.5,20478000000,3468000000,12,17.79,1.0,10.0
4116,2021/03,51.5,138491000000,4920000000,45,14.63,0.0,0.0
4118,2021/03,53.5,577426000000,27544000000,100,41.2,0.0,10.0
4119,2021/03,40,30117012000,264064000,50,-,0.0,4.0
4120,2021/03,51.8,6008081000,500291000,30,12.93,0.0,0.0
4124,2020/09,86.9,1050767000,111839000,25,35.42,0.0,1.0
4151,2020/12,87.2,318352000000,111302000000,44,50.25,4.0,10.0
4171,2020/12,70.4,2153861000,320560000,30,15.65,0.0,0.0
4172,2020/09,85.8,1910043000,384200000,35,16.7,0.0,0.0
4182,2021/03,62.7,595718000000,44510000000,70,40.36,0.0,10.0
4183,2021/03,39,1211725000000,78074000000,100,33.43,0.0,6.0
4185,2021/03,49.6,312000000000,-61633000000,60,-,0.0,10.0
4186,2020/12,75.3,117585000000,15589000000,154,50.44,3.0,10.0
4187,2020/11,76.5,28681191000,4442353000,46,30.08,6.0,8.0
4188,2021/03,23.4,3257535000000,47518000000,24,-,0.0,0.0
4189,2020/12,45.4,77332000000,5642000000,60,54.97,0.0,4.0
4192,2020/12,45.1,1973405000,112984000,-,-,0.0,0.0
4202,2021/03,37.1,393568000000,31723000000,32,52.83,1.0,10.0
4203,2021/03,57.9,209002000000,19914000000,75,21.4,0.0,7.0
4204,2021/03,58,1056560000000,67300000000,47,50.44,10.0,10.0
4205,2021/03,65.8,301961000000,33408000000,22,16.57,10.0,10.0
4206,2021/03,65,174628000000,17991000000,107,64.33,10.0,10.0
4208,2021/03,46.6,613889000000,25902000000,90,39.72,4.0,10.0
4212,2021/03,77.4,64735000000,10669000000,56,29.35,10.0,10.0
4215,2021/03,60,134470000000,8511000000,22,62.15,3.0,10.0
4216,2021/03,68.9,53551000000,3404000000,50,34.49,0.0,10.0
4218,2021/03,62.2,41528000000,2000000000,30,50.59,0.0,0.0
4220,2021/03,56.4,88224442000,5313663000,16,23.41,5.0,10.0
4221,2020/12,59.4,80958000000,4286000000,60,22.86,1.0,2.0
4222,2021/03,24.4,13768204000,508802000,-,-,0.0,10.0
4224,2021/03,72,17167000000,1140000000,60,42.2,0.0,0.0
4228,2021/03,44.2,118851000000,2091000000,21,84.46,0.0,7.0
4229,2021/03,81.2,25194000000,2217000000,80,33.11,0.0,10.0
4231,2021/03,68.7,36589964000,1152176000,10,14.3,0.0,0.0
4234,2021/03,52.1,29986222000,613283000,18,17.94,0.0,10.0
4235,2020/12,34.7,10000000000,406000000,20,625.71,0.0,0.0
4237,2021/03,58.6,12585426000,309109000,6,82.82,0.0,9.0
4238,2021/01,83.9,9733374000,868856000,30,26.73,0.0,4.0
4240,2021/03,89.7,763734000,34544000,-,-,0.0,2.0
4241,2021/03,29.7,2855563000,162148000,5,17.56,0.0,0.0
4242,2021/03,21.8,37144000000,950000000,-,-,0.0,5.0
4243,2020/09,67.9,3580823000,2000,5,-,0.0,0.0
4245,2020/12,27.5,34647937000,1045032000,24,62.43,0.0,8.0
4246,2021/03,48.5,150234000000,4456000000,30,78.27,0.0,0.0
4248,2020/12,53.2,14863393000,1778479000,19,48.52,0.0,9.0
4249,2021/03,51.8,155460000000,5672000000,50,278.13,0.0,7.0
4251,2020/12,40.9,14735937000,1102560000,13.5,13.54,1.0,1.0
4272,2021/03,77.2,173381000000,15194000000,30,40.74,0.0,10.0
4274,2021/03,66.4,1557656000,198030000,7,16.76,0.0,0.0
4275,2021/03,56.9,45537000000,1574000000,12,23.31,0.0,7.0
4282,2020/09,62.6,66689000000,4553000000,20,56.19,0.0,0.0
4284,2020/12,53.5,13186303000,848183000,17,32.25,3.0,10.0
4286,2020/12,51.3,17129125000,1243849000,36,29.41,4.0,4.0
4287,2021/01,92.8,2103153000,185089000,7.4,123.7,0.0,7.0
4288,2021/03,68.2,2795125000,-52898000,-,-,0.0,1.0
4290,2021/03,66.1,40617631000,5233204000,7,30.19,1.0,1.0
4293,2020/09,45.9,17937745000,2274396000,2,17.27,0.0,2.0
4295,2021/03,66,19991491000,763435000,10,-,0.0,10.0
4298,2021/03,72.7,55787000000,5941000000,25,21.72,1.0,7.0
4299,2021/03,76.8,15431000000,1367000000,25,26.04,0.0,0.0
4301,2021/03,70.7,39839000000,3574000000,35,18.62,0.0,0.0
4304,2021/03,27.2,10504870000,906815000,32,28.67,0.0,10.0
4307,2021/03,50.3,550337000000,80748000000,36,38.41,1.0,10.0
4308,2021/03,74.9,12970352000,2342376000,13,5.33,1.0,1.0
4310,2021/03,31.3,27776000000,-957000000,-,-,0.0,1.0
4312,2020/12,64.2,21665009000,2877182000,25.05,45.77,4.0,4.0
4316,2021/03,61,1344062000,46991000,-,-,0.0,7.0
4317,2021/02,59.3,7045209000,-707620000,5,-,0.0,1.0
4318,2021/03,70.7,19360728000,1867184000,44,52.78,10.0,10.0
4319,2021/03,28.4,19749802000,404573000,5,22.81,0.0,0.0
4320,2020/09,50.8,10603887000,547072000,6.8,83.95,1.0,1.0
4323,2021/03,53,18789152000,1216324000,28,26.17,0.0,10.0
4324,2020/12,22.4,4498216000000,-140625000000,71.25,-,0.0,0.0
4326,2021/06,66,57558996000,4421128000,35,35.95,7.0,10.0
4327,2020/09,86.1,2964756000,1391632000,96,45.52,10.0,10.0
4331,2021/03,14.9,20044000000,-11191000000,-,-,1.0,10.0
4333,2021/03,66.6,12189086000,1076567000,35,40.49,0.0,10.0
4334,2021/01,34.7,2650178000,-174975000,10,-,0.0,11.0
4335,2021/06,57.3,2498609000,278246000,20,6.43,0.0,0.0
4336,2021/03,53.1,6279115000,158831000,12,19.43,0.0,6.0
4337,2021/03,3.5,67355000000,-6231000000,-,-,0.0,0.0
4341,2021/03,48.3,18155000000,291000000,33,49.57,0.0,2.0
4342,2021/03,86.1,24345000000,4551000000,109,39.75,6.0,10.0
4343,2021/02,30.9,46116449000,-7429080000,30,-,0.0,0.0
4344,2021/03,60.1,12851060000,540260000,0.21,17.82,0.0,0.0
4345,2021/03,67,9968000000,2228000000,14,35.71,8.0,8.0
4346,2020/09,21.5,15728000000,-1627000000,45,-,6.0,9.0
4347,2021/03,39.3,10991126000,478831000,-,-,0.0,6.0
4348,2021/03,73.5,68055000000,10812000000,37,27.04,9.0,10.0
4350,2021/03,17.3,104257000000,3429000000,10,13.92,0.0,8.0
4351,2020/12,49.4,2095689000,-200517000,10,-,0.0,10.0
4355,2020/10,13.1,13230064000,98208000,6,-,0.0,0.0
4356,2020/12,73.2,4800324000,686436000,20,12.03,0.0,10.0
4361,2020/11,27.4,6628207000,80880000,30,61.56,0.0,5.0
4362,2021/03,79.1,30509000000,3939891000,35,29.27,3.0,7.0
4364,2021/03,74.8,9522883000,652309000,15,18.2,1.0,1.0
4365,2021/03,84.8,29605000000,3945000000,300,28.26,0.0,0.0
4366,2021/03,67.8,13998000000,1443000000,12,9.8,0.0,0.0
4367,2021/03,68.8,17589569000,1484443000,100,23.78,1.0,1.0
4368,2021/03,87,42209380000,9632212000,48,23.99,0.0,5.0
4369,2021/01,63.4,9801982000,2691380000,17,13.42,1.0,1.0
4380,2021/01,69.5,777610000,178108000,10,20.51,2.0,2.0
4381,2021/03,42.4,754742000,35644000,-,-,0.0,1.0
4382,2021/04,97.8,1556593000,294180000,-,-,0.0,3.0
4384,2021/07,34.1,30261212000,220555000,-,-,0.0,1.0
4386,2021/03,59.6,4397124000,325186000,12,28.17,0.0,1.0
4387,2021/03,63.9,2789774000,14390000,-,-,0.0,1.0
4388,2021/03,91.1,887565000,288198000,8.5,16.32,0.0,0.0
4389,2021/03,77.3,2165888000,504165000,12,13.96,1.0,1.0
4390,2021/03,45.1,9515000000,1921165000,10,8.3,0.0,1.0
4391,2021/06,83,1685363000,330371000,-,-,0.0,1.0
4392,2020/12,53.4,10333000000,-284000000,5,84.62,0.0,2.0
4393,2020/09,39.5,3061423000,-60232000,-,-,0.0,1.0
4394,2020/11,94.8,877186000,89311000,15,61.62,0.0,7.0
4395,2020/12,77.8,1731803000,344415000,10,11.56,1.0,3.0
4396,2021/06,44.9,14431360000,931043000,21,14.91,2.0,4.0
4397,2021/08,49.7,2896000000,169000000,-,-,0.0,1.0
4398,2021/06,35.9,4342306000,210660000,10,48.01,1.0,1.0
4399,2020/09,68,4548097000,235616000,-,-,0.0,1.0
4401,2021/03,52.1,327080000000,28979000000,48,30.31,6.0,10.0
4403,2021/03,74.7,172645000000,26602000000,80,27.83,0.0,10.0
4404,2020/12,49.2,43080000000,1126000000,40,40.37,0.0,9.0
4406,2021/03,42.4,24437000000,287000000,3,22.16,1.0,2.0
4409,2021/03,25.8,40649000000,1386000000,15,31.74,3.0,10.0
4410,2021/03,49.8,62850813000,1576854000,38,87.46,4.0,10.0
