コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1820,2021/03,43.6,336241000000,20950000000,105,33.46,0.0,2.0
1821,2021/03,27.2,421619000000,15584000000,18,43.37,0.0,5.0
1822,2021/03,42.8,161697000000,9066000000,110,26.91,1.0,10.0
1824,2021/03,29.1,678059000000,46343000000,38,15.64,0.0,10.0
1826,2021/03,57.1,31689000000,1006000000,13,42.86,1.0,1.0
1827,2021/03,42.5,116046000000,1622000000,12,130.35,0.0,8.0
1828,2021/03,53.5,38123091000,2653106000,30,18.3,2.0,9.0
1833,2021/03,51.4,220712000000,12880000000,140,51.12,0.0,0.0
1835,2021/03,67.3,132919794000,13915739000,85,32.33,10.0,10.0
1840,2020/10,58.9,28739621000,-501203000,1,-,0.0,0.0
1841,2021/03,83.1,7499000000,81983000,25,222.34,0.0,0.0
1844,2021/07,47.8,4954000000,325000000,7,42.73,1.0,3.0
1847,2021/03,45.5,88624000000,4758000000,90,20.63,1.0,10.0
1848,2021/03,37.2,27693000000,1767000000,12,12.06,0.0,0.0
1852,2021/03,45,138934000000,5291000000,257,42.05,1.0,1.0
1853,2021/03,55.7,28579000000,1961000000,14,34.8,0.0,0.0
1860,2021/03,42.1,507134000000,27697000000,20,40.5,1.0,7.0
1861,2021/03,43.2,450232000000,28069000000,120,31.3,6.0,10.0
1866,2021/03,51.6,75265000000,2770524000,110,34.44,0.0,4.0
1867,2021/03,50.4,48847474000,2545443000,55,17.52,1.0,10.0
1870,2021/03,42.1,106615000000,7362000000,34,46.14,2.0,7.0
1871,2021/03,44.2,117219000000,8396000000,26,16.93,0.0,0.0
1873,2020/10,55.3,38932000000,1620000000,5,57.9,0.0,2.0
1878,2021/03,33.7,1488915000000,86738000000,455,60.57,10.0,10.0
1879,2021/03,64.7,101785000000,13904000000,19,11.53,0.0,10.0
1881,2021/03,65,445720000000,44697000000,80,23,1.0,10.0
1882,2021/03,53.2,111801000000,7165000000,160,15.09,2.0,2.0
1883,2021/03,72.7,234612000000,20738000000,70,369.04,1.0,1.0
1884,2021/03,60.2,157796000000,10776000000,260,20.82,0.0,0.0
1885,2021/03,36.9,189712000000,8714000000,80,14.36,3.0,3.0
1887,2021/05,49.6,117803000000,10564000000,26,32.08,0.0,0.0
1888,2021/03,35.7,89822000000,2917000000,55,42.22,4.0,10.0
1890,2021/03,43.1,172976000000,14259000000,25,15.41,1.0,1.0
1893,2021/03,35,471058000000,30460000000,28,32.67,6.0,10.0
1897,2020/12,84.4,10960000000,649000000,50,27.24,0.0,7.0
1898,2021/03,51.4,90025000000,8470000000,43,36.54,2.0,2.0
1899,2020/12,51.4,185764000000,8905000000,110,16.39,0.0,10.0
1904,2021/03,60,48633913000,1302724000,72,40.13,0.0,7.0
1905,2021/03,65.1,15906872000,308910000,25,111.61,2.0,9.0
1909,2021/03,40.4,43073810000,3396316000,33,9.08,0.0,3.0
1911,2020/12,33.7,839881000000,47462000000,35,18.01,0.0,0.0
1914,2021/03,73.4,22854000000,568992000,10,123.66,1.0,10.0
1921,2021/03,69,23222000000,2048954000,8,24.12,0.0,10.0
1925,2021/03,36.3,4126769000000,357121000000,116,37.19,10.0,10.0
1926,2021/03,67.3,108209000000,11727000000,50,24.65,7.0,10.0
1928,2021/01,50.5,2446904000000,186519000000,84,47.54,9.0,9.0
1929,2021/03,55.1,67955000000,5358000000,36,42.89,7.0,7.0
1930,2021/03,71.6,44888000000,3853000000,30,18.36,9.0,10.0
1934,2021/03,61.9,197092000000,8484000000,20,24.81,0.0,7.0
1938,2021/03,67.8,55200858000,4220772000,27,20.71,5.0,6.0
1939,2021/03,52,89629000000,5089000000,100,17.17,0.0,10.0
1941,2021/03,77.6,184482000000,9482000000,104,71.59,0.0,9.0
1942,2021/03,59.2,556045000000,30041000000,28,27.37,4.0,9.0
1944,2021/03,72,556273000000,42948000000,35,21.31,8.0,9.0
1945,2021/03,72.4,59514000000,4104000000,28.5,34.87,1.0,10.0
1946,2021/03,38.8,215677000000,15509000000,140,28.57,6.0,10.0
1948,2021/03,63.6,32424000000,1223000000,220,44.07,2.0,9.0
1949,2021/03,56.5,154053000000,11319000000,74,33.15,9.0,9.0
1950,2021/03,64.6,195695000000,14188000000,37,23.84,8.0,10.0
1951,2021/03,58.1,573339000000,36623000000,82,37.59,8.0,10.0
1952,2021/03,51.3,107253000000,6386000000,70,35.04,1.0,2.0
1954,2021/06,45.3,117859000000,7128000000,75,25.27,0.0,7.0
1959,2021/03,60,391901000000,32998000000,100,28.3,0.0,9.0
